Gre_Range,College_name,College_Site
301-308,Idaho State University,www.isu.edu
301-308,Wichita State University,www.wichita.edu
301-308,University of Mississippi,www.olemiss.edu
301-308,Northeastern University,www.northeastern.edu
301-308,Southern Illinois University-Edwardsville,www.siue.edu
301-308,University of Alaska- Fairbanks,www.uaf.edu
301-308,"Pace University, NY",www.pace.edu
301-308,Wright State University,www.wright.edu
301-308,Chicago State University,www.csu.edu
301-308,South Dakota State University,www.sdsu.edu
301-308,East Carolina University,www.ecu.edu
301-308,University of North Texas,www.unt.edu
301-308,SUNY Institute of Technology,www.sunyit.edu
301-308,University of Missouri at St Louis,www.umsl.edu
301-308,University of Northern Iowa,www.uni.edu
301-308,University of Toledo,www.utoledo.edu
301-308,University of Illinois at Springfield,www.uis.edu
301-308,"Old Dominion University, Virginia",www.odu.edu
291-300,Northwest Missouri State University,www.nwmissouri.edu
291-300,Lamar University,www.lamar.edu
291-300,"Illinois State University, Normal",www.ilstu.edu
291-300,University of Louisville,www.louisville.edu
291-300,"Texas A & M University, Commerce",tamu-commerce.edu
291-300,"Colorado Technical University, Colorado Springs",www.coloradotech.edu
291-300,"Boise State university, Idaho",www.boisestate.edu
291-300,"Montana State University, Bozeman",www.montana.edu
291-300,South Dakota School of Mines & technology,www.sdsmt.edu
291-300,North Carolina Agricultural & Tech State University,www.ncat.edu
291-300,"Southern Illinois University, Carbondale",www.siuc.edu
291-300,Florida International university,www.fiu.edu
291-300,North Dakota State University,www.nodak.edu
291-300,Western Kentucky University,www.wku.edu
291-300,Bradley University,www.bradley.edu
291-300,Cleveland State University,www.csuohio.edu
291-300,University of Bridgeport -CT,www.bridgeport.edu
291-300,University of Dayton -Ohio,www.udayton.edu
291-300,"Texas A & M university, Kingsville",www.tamuk.edu
291-300,"University of West Florida, Pensacola",www.uwf.edu
291-300,Eastern Michigan University,www.emich.edu
291-300,"Minnesota State University, Mankato",www.mnsu.edu
291-300,"Suffolk University, MA",www.suffolk.edu
291-300,"University of North Carolina, Greensboro",www.uncg.edu
291-300,New Mexico Institute of Mining &Tech.,www.nmt.edu
291-300,University of Central Arkansas,www.uca.edu
291-300,"Southeastern University, DC",www.seu.edu
291-300,University of Hawaii,www.hawai.edu
291-300,"University of Texas, Tyler",www.uttyler.edu
291-300,Eastern Washington University,www.ewu.edu
291-300,"Southern Oregon University, Ashland",www.sou.edu
291-300,University of Texas at San Antonio,www.utsa.edu
291-300,State University of West Georgia,www.westga.edu
291-300,Ball State University,www.bsu.edu
291-300,University of Texas El Paso,www.utep.edu
291-300,Columbus State University,www.colstate.edu
291-300,Arkansas State University,www.astate.edu
291-300,University of Denver,www.du.edu
291-300,North Dakota State University,www.ndsu.edu
291-300,New York Institute of Technology,www.nyit.edu
291-300,"California State University, Chico",www.csuchico.edu
291-300,Dakota State University,www.dsu.edu
291-300,St Cloud State University,www.stcloudstate.edu
291-300,Marquette University,www.marquette.edu
260-290,"Temple University, PA",www.temple.edu
260-290,City College of the City of New York,www.cuny.edu
260-290,Northeastern Illinois University,www.neiu.edu
